Date,Open,High,Low,Close,Volume,Adj Close
2016-07-08,96.489998,96.889999,96.050003,96.680000,28912100,93.411301
2016-07-07,95.699997,96.500000,95.620003,95.940002,25139600,92.696312
2016-07-06,94.599998,95.660004,94.370003,95.529999,30949100,92.300171
2016-07-05,95.389999,95.400002,94.459999,94.989998,27705200,91.778442
2016-07-01,95.489998,96.470001,95.330002,95.889999,26026500,92.648010
2016-06-30,94.440002,95.769997,94.300003,95.599998,35836400,92.367805
2016-06-29,93.970001,94.550003,93.629997,94.400002,36531000,91.208397
2016-06-28,92.900002,93.660004,92.139999,93.589996,40444900,90.425781
2016-06-27,93.000000,93.050003,91.500000,92.040001,45489600,88.928177
2016-06-24,92.910004,94.660004,92.650002,93.400002,75311400,90.242188
2016-06-23,95.940002,96.290001,95.250000,96.099998,32240200,92.850914
2016-06-22,96.250000,96.889999,95.349998,95.550003,29219100,92.319504
2016-06-21,94.940002,96.349998,94.680000,95.910004,35546400,92.667336
2016-06-20,96.000000,96.570000,95.029999,95.099998,34411900,91.884720
2016-06-17,96.620003,96.650002,95.300003,95.330002,61008200,92.106941
2016-06-16,96.449997,97.750000,96.070000,97.550003,31326800,94.251892
2016-06-15,97.820000,98.410004,97.029999,97.139999,29445200,93.855766
2016-06-14,97.320000,98.480003,96.750000,97.459999,31931900,94.164932
2016-06-13,98.690002,99.120003,97.099998,97.339996,38020500,94.048996
2016-06-10,98.529999,99.349998,98.480003,98.830002,31712900,95.488617
2016-06-09,98.500000,99.989998,98.459999,99.650002,26601400,96.280899
2016-06-08,99.019997,99.559998,98.680000,98.940002,20848100,95.594902
2016-06-07,99.250000,99.870003,98.959999,99.029999,22409500,95.681847
2016-06-06,97.989998,101.889999,97.550003,98.629997,23292500,95.295364
2016-06-03,97.790001,98.269997,97.449997,97.919998,28062900,94.609375
2016-06-02,97.599998,97.839996,96.629997,97.720001,40191600,94.416138
2016-06-01,99.019997,99.540001,98.330002,98.459999,29173300,95.131126
2016-05-31,99.599998,100.400002,98.820000,99.860001,42307200,96.483780
2016-05-27,99.440002,100.470001,99.250000,100.349998,36229500,96.957214
2016-05-26,99.680000,100.730003,98.639999,100.410004,56331200,97.015190
2016-05-25,98.669998,99.739998,98.110001,99.620003,38168800,96.251907
2016-05-24,97.220001,98.089996,96.839996,97.900002,35140200,94.590057
2016-05-23,95.870003,97.190002,95.669998,96.430000,38018600,93.169746
2016-05-20,94.639999,95.430000,94.519997,95.220001,32026000,92.000664
2016-05-19,94.639999,94.639999,93.570000,94.199997,30442100,91.015144
2016-05-18,94.160004,95.209999,93.889999,94.559998,42062400,91.362984
2016-05-17,94.550003,94.699997,93.010002,93.489998,46916900,90.329147
2016-05-16,92.389999,94.389999,91.650002,93.879997,61259800,90.705963
